[-7.0, -6.5]
[-6.169237318747261, -5.331004302720145]
[-7.038354776892446, -5.870555337950343]
[-8.064669576461627, -4.7571522812701]
[-7.8096381513335436, -6.244849603504519]
[-7.637112207842361, -4.808702219397203]
[-6.881919168987797, -3.8290349132918657]
[-7.554852573760905, -4.562352074499654]
[-6.8811063312717, -3.7970647427825814]
[-6.881102726048613, -3.7970658026965993]
[-5.511667350142198, -3.091760530175375]
[-6.6907878961633775, -4.01649202710635]
[-7.368467298212456, -5.278276915781667]
[-4.679396673458416, -3.5244695144467344]
[-4.602016857406074, -5.621139670787399]
[-4.665217094286652, -4.430755700121105]
[-6.0082984567699755, -3.8459734053526167]
[-5.644201686184476, -4.367718334488913]
[-5.779085485469474, -4.258450647924717]
[-5.870332012442313, -4.149067295599543]
[-7.341350285705314, -5.329354658927493]
[-5.427016217906673, -4.376586561626152]
[-4.494028365095506, -4.89413792101255]
[-7.7052084268195, -5.301825664259838]
[-7.11547417435836, -5.421516585890731]
[-4.545380070797811, -4.546657012934804]
[-4.720408828469002, -3.5069586399925106]
[-8.911710389429103, -3.7292929787110958]
[-5.523938889148449, -3.9284939883829573]
[-5.528326014530373, -4.432217421192407]
[-4.8405077112447445, -5.598747391541383]
[-4.617112453182393, -7.173619587394799]
[-6.030197471171732, -3.669706125867435]
[-5.837107039550006, -4.15455214984856]
[-4.840275716957458, -4.5385476353637575]
[-5.769718294328919, -3.2144638756662935]
[-5.921648401731753, -4.121401870227912]
[-7.663398816129662, -4.87131509606229]
[-6.159835296125922, -3.6969453133629004]
[-7.904006131177619, -4.897971989387356]
[-5.593793335873838, -4.455458573226446]
[-5.7908252223193895, -3.2383148037252685]
[-4.679328256081729, -3.524507278335961]
[-5.032792612383456, -1.8802859499844766]
[-4.799182223612291, -6.038192595556858]
[-7.388445468688696, -4.769370403137783]
[-4.8279111787974776, -4.209439566260025]
[-4.890496943827683, -3.274054269105792]
[-5.0278360432635045, -1.877319572548363]
[-6.250133835851554, -2.6187866666332598]
[-4.703429548951723, -0.479018211983118]
[-5.395665970965745, -0.9379259843163367]
[-5.258572255765629, -2.463466060200795]
[-5.654949865630099, -1.6127632049274154]
[-4.704229470995353, -0.47964957108282236]
[-4.649376099497331, -4.580490604277016]
[-7.4818013966327195, -5.040871905836724]
[-4.657768189377069, -5.312569016081349]
[-5.722326195963217, -1.5995852958018821]
[-5.699853740140779, -1.7651172158758612]
[-7.1217819645642475, -5.860203481462015]
[-4.811262253392562, 0.0040058294084478335]
[-4.812353326846428, 0.0052935708104471825]
[-6.272689797614108, 0.4230172031513341]
[-7.573426455409554, 0.3248600068434776]
[-4.719294012661803, -5.7161413458296195]
[-8.748581189896381, 1.063228662305896]
[-6.283899702312642, -6.153146987616422]
[-6.208717386003162, 0.4554322979102017]
[-5.910651538443229, -0.07528627637592629]
[-7.538650680588793, 1.9983716375873488]
[-4.710527388879447, -4.7382314659849785]
[-4.848497646875656, -5.666320488717203]
[-4.8531297193557945, -6.462600800724562]
[-5.312335153267976, -2.624227222542319]
[-7.538439521862678, 1.9983888925764592]
[-6.05739193697195, -2.6475778721577177]
[-7.362761878945635, -2.640705380009938]
[-4.498007651337285, -0.2994519265709215]
