[-7.0, -6.5]
[-1.7471866593252614, -6.071665057487797]
[-2.4606263653527667, 3.489140712131964]
[1.673515353985074, -1.4428132758303986]
[0.6658871249619389, 4.513262588746651]
[0.8386460315321584, 5.7047011967372425]
[-5.391213485552251, -0.7073075588382278]
[1.6364661590715708, -1.489684384004731]
[-7.342049551066101, 0.2145186379433171]
[-3.069997910155659, -6.2818689257292775]
[-7.723480773403032, -3.109575479410365]
[1.8013564109481797, 0.4551945676213364]
[1.5113513571697335, -1.676442177092685]
[-0.9228414879940733, 2.149528559445868]
[0.18016888437456394, 3.2002626191254917]
[-7.469312335503978, -2.7408735101947452]
[1.6476457665960909, 0.5821433570263327]
[-4.703205606040551, -0.7568267608032141]
[0.8806411795240396, 4.951071218807425]
[-5.817865557520355, 0.8847221787031978]
[-7.044965829476243, -1.8984609096571161]
[-2.742225862347914, 4.215243384543412]
[-2.9924661534788792, -5.344369393286076]
[-4.619352821241301, 4.514926309887868]
[0.3324006804373383, -4.289374885576084]
[-4.334104555398639, 6.627010466165157]
[1.6716547700579394, 1.7127356768405788]
[0.3312315858435991, -4.289704633180747]
[-3.436997248376724, 2.5222946443943095]
[-5.307729869215249, 3.3822220204802873]
[-2.2185923521094937, 0.006931753766971378]
[0.8717048171396984, 3.930131729794625]
[0.4379809098613276, 3.623949623066104]
[-0.2572060879033467, 5.093784176302374]
[-4.335675708946228, 5.114437129213695]
[-8.39672513233133, -5.022656620290453]
[2.9608549402157998, 1.6312742074511242]
[0.34242060056469226, -3.667712566535285]
[-4.803583825517792, 6.621733791765095]
[0.008324535653916281, -1.3202498054253438]
[1.8665468749531964, -1.6588916202044761]
[-5.012611893202532, 3.0886964481751167]
[-7.33561366878649, -2.895597087309135]
[1.6143985596167651, -4.944724624871115]
[3.0671700276448837, -4.610290287065317]
[-8.208469873574977, 3.1225371590712667]
[-4.423496607942942, 3.5375537727982054]
[-0.13564453892637024, -3.627672231765202]
[-8.717297762433862, 3.397778465147953]
[-3.6487240520740314, -3.889498789208451]
[3.0654630489882067, -4.61322152176023]
[-3.4958944987262375, 0.6078950585366709]
[3.347117650055623, -6.047568457349695]
[-6.362504318251219, -6.91255233286965]
[-4.39672402889499, 5.280084285402099]
[2.7229848012332543, 0.5586642841899404]
[-2.273678453570686, 3.1972630011674203]
[-3.5521859654215615, -3.9111972067375826]
[-6.94027996317273, -3.066972950270162]
[-8.06847033561544, -1.1500268323669305]
[-4.484517581337668, -0.5421526220026587]
[2.538878432657963, 0.7670926193581568]
[-2.7001986411783885, 3.728616679624597]
[-7.531554119798058, 1.855891422120793]
[2.9041036083808454, -4.766449228629302]
[0.7463650218518895, -2.6445377767268736]
[0.9341805336706228, 5.040947991172742]
[2.8670578687058095, -5.723880379677794]
[3.283227579197606, -6.131312096062966]
[3.2829567273571825, -3.2465745070036243]
[0.8438265433551674, 3.0523569144124023]
[4.624073385251231, 1.0965755659778433]
[2.9321603364849604, -5.300593948611083]
[5.464333629664572, 0.07045096825536229]
[-7.582049420555065, -2.969685404998984]
[-3.1064459442561687, -3.0371805334811106]
[-3.8531402193344624, -7.321908034025052]
[0.6220459562486809, 3.6655185121474174]
[3.805279474478316, -5.424501371933941]
[-0.5247362011936615, -2.9371869154391086]
[5.510806683323356, 0.7156591243476448]
[-4.108242895631697, 2.645433293656529]
[-0.6149357731479563, 0.13434027595375944]
[0.281504977654676, 4.1596753280788725]
[-9.10754938826669, 2.7777417219707496]
[0.7338779805975019, 5.434050374895912]
[0.3614654669687006, -5.417582122576033]
[-3.0322796913091112, 0.39502621838075075]
[2.537505917730842, -4.581357388291379]
[5.31627741578471, 1.0366717962022243]
[3.4614676010118086, 1.360147926140554]
[1.2783277614528756, -2.69702253119764]
[5.531081288687068, 0.8077803962987488]
[0.2153555215374014, 2.846416883420254]
[-4.983731616802113, 2.590551389068731]
[0.7449614719369909, 0.1757498427005138]
[-0.1882021983366278, -6.48307623364169]
[-1.4540969327955495, 3.7228365224306934]
[0.4452382252224288, -1.1308836042972128]
[-5.090220789784927, 4.059905930733926]
[-2.1165117092638353, -1.2958490895707486]
[-2.0153286920453013, -6.4825350112942]
[-6.01094236632676, 2.558302143733244]
[5.714170389628309, 1.1934637510155248]
[4.234147828098884, 1.2265718527675276]
[-8.413327312389143, 4.412069348444678]
[2.2414502954059867, -4.341035015169865]
[-7.542211678465366, -3.009757967602425]
[-0.2286159003373213, 5.154412651675245]
[3.8514678537518656, -5.235164332718075]
[-9.088383415722973, 3.63733769289959]
[2.7627651752248066, -4.709236543806621]
[-6.666807818863235, -2.1090469484177494]
[-0.2950703644753775, -3.783422041210934]
[5.542871437805419, 0.20332425814980803]
[-6.0740168983389005, 3.4727175703691326]
[0.5026310427049225, 3.670545984057202]
[-5.529076813870716, -5.72642379494396]
[0.37223413173646297, -0.8888755712502054]
[4.511794540719984, -4.620725783431527]
[-0.9815950470241935, -2.2691696656412783]
[4.870825945126469, 2.2405210757173406]
[1.0540597232699334, -0.031434908839909556]
[2.64958212567701, -0.298783635261256]
[-1.5349211513678838, -4.181529837867912]
[5.789912253318247, -1.1342550316997757]
[-7.258813926936047, -5.0993369803222794]
[1.9810069634799472, -3.71086481948005]
[2.701455801198621, -7.459263216468414]
[-8.871023200077023, -1.2980649486727447]
[-0.11411410976075165, 4.715791881090153]
[-0.09267408995707421, -0.4774441025572593]
[5.792922654885191, -0.7023543329762809]
[-2.6198881433778567, 0.9033817997114932]
[4.507689081324183, -1.469319856251518]
[0.8935937261905009, 3.409470303205866]
[5.733808048765028, -0.8974002148931303]
[-4.750456074046826, 2.0838645212989677]
[-0.9344141232981664, -1.2066363036363386]
[-2.8197849478545485, 1.4817667566522694]
[5.346294411328159, 3.7219276995682784]
