[-7.0, -6.5]
[-5.493599235460885, -6.498907431191972]
[-6.20388602422061, -7.492646166000934]
[-6.5327121737553915, -7.216426327349228]
[-6.767774817770587, -6.9997387189275715]
[-6.7160698300667345, -6.058078230565741]
[-6.434189330077179, -5.871938405056165]
[-6.322153462562694, -5.828089680999476]
[-6.716148442878159, -6.058068047934726]
[-5.244393058756062, -6.403852392231078]
[-4.9917678577194105, -6.5001876134005006]
[-6.024007431980708, -7.450933961974059]
[-6.617655412656526, -5.78717048985922]
[-5.02350529809369, -6.5240483018988265]
[-6.053856205771429, -6.867142057973408]
[-5.748633646932051, -7.303694109206727]
[-5.886686973374923, -4.510505239366148]
[-5.054077204908394, -6.0384963345915965]
[-5.039837325883087, -4.594015041305794]
[-4.960456691795319, -5.994953464167175]
[-5.019392698983756, -4.643959083263913]
[-4.753242859211827, -6.1617323676134275]
[-5.029489216923331, -5.918267466815296]
[-5.806030342716641, -3.4477973663675345]
[-4.868868744006703, -4.411410611169792]
[-4.685416723228229, -4.1542937330062175]
[-4.781876880107512, -3.3577692797886582]
[-5.743548888321298, -3.052286043297954]
[-5.793234392950359, -3.1118713770266013]
[-4.84287925192441, -7.4407236189660715]
[-5.788243497599444, -4.618287469898514]
[-7.316309203230438, -3.225102966926451]
[-5.6235230503311575, -2.851733449331234]
[-4.661109818447353, -2.9433327567521816]
[-5.327056331948027, -7.447018130726947]
[-6.353650015079251, -4.661320035018243]
[-4.8927932694148435, -1.7333301767262266]
[-5.56209417033498, -2.311980351299497]
[-5.87970570880447, -2.695806740824201]
[-5.489729605618821, -0.49844269194960844]
[-5.372122589809139, -7.437333344306892]
[-4.99094755498959, -3.9158615926470963]
[-4.646263950181554, -4.877267619400532]
[-6.386942526921889, -1.1490952601190327]
[-6.479209536307988, -1.335229894436637]
[-4.854057970688511, -3.997898314235464]
[-6.263186196152999, -3.308243988675207]
[-4.7022085419781465, 0.14004759495087518]
[-5.402166049275965, -4.178534377212285]
[-4.701190199535117, 0.1361331058160711]
[-5.967448349884149, -0.7140458441804282]
[-6.348632272806973, -5.977740900314991]
[-5.489497186779653, -0.4983057464311987]
[-4.686105014592191, 0.1467407538913725]
[-5.645140936014077, -2.413826987691031]
[-5.457582312747573, -3.907355579467647]
[-6.925438144997578, 0.4046217081425901]
[-4.919894227772349, -7.4292988827571484]
[-5.984097943250883, 0.13248664606581725]
[-4.993161655335335, -5.3965987034189]
[-6.127476171536183, -2.0459699555439164]
[-4.753023113179414, -6.161747693191385]
[-5.448310613345565, -6.551183732321974]
[-5.467653946524986, -0.5354358200509708]
[-5.007746833318198, -6.525342989064757]
[-5.359731786006345, 0.1676193903446997]
[-5.331088797857161, -0.6680465409250065]
[-4.590624527616498, 0.19322881098626687]
[-5.268029499231506, -3.270217229471884]
[-7.576581109504252, 0.0448924101073694]
[-5.715628891269108, -3.4393145164866534]
[-6.034469961435543, 0.6538657766944346]
[-6.3243236926449775, -0.031408330407620914]
[-4.655163943714797, -5.9700514354581165]
[-5.279631064321101, -6.283292238424893]
[-4.620766515497684, -1.8820625330055671]
[-6.322861836437652, -6.940687664599097]
[-4.8534690082059955, -2.0558192692450445]
[-8.325051073156708, -3.5384476213447282]
[-5.5910885856568, 0.48758741562611047]
[-5.4935676796096, -3.818112219953701]
[-6.1650259798564635, 0.3528627923379581]
[-5.258429746576341, -2.7029501602176946]
[-5.388088990385773, 0.2837216083112886]
[-5.52868747908504, -6.184927746779122]
[-5.302583522856256, -6.025821603672807]
[-6.517803842331143, 1.0166280539365489]
[-5.345679588182155, 0.8758477472473745]
[-5.2041299638756024, -6.376747716616171]
[-6.998371988384176, -6.293518214651708]
[-4.8078009173558005, -2.115065395580039]
[-7.415045832265934, -6.949583888346175]
[-6.1270489356686655, 0.426938253589145]
[-8.513471899833506, -0.8022627402822309]
[-8.158143357622953, -7.0174396508287495]
[-4.545259663120724, -0.05346256351867104]
[-6.673701587352218, -6.702606419335847]
[-6.187859652332336, 0.3386164581769902]
[-5.595848342097865, -4.828160676224929]
[-4.874488218720662, 1.244993940761341]
[-4.55162792666322, 0.5672197688795841]
[-5.066526102734788, -5.64957163294072]
[-5.645500123691254, 0.16228533337266873]
[-5.316165872307142, -4.256064104860816]
[-4.82363193848726, -3.8631680928128533]
[-7.005028701297285, 2.3551391277653457]
[-5.842761333385952, 2.3226055513049975]
[-4.906993495627173, -6.680604099508584]
[-5.8434534984923605, 2.3222779495670967]
[-5.441854747156208, 0.9877130493634504]
[-5.8810938103028105, 3.809747688232169]
[-5.423990673761891, 1.741199864696078]
[-5.500923585630585, 1.1684802581731863]
[-5.604574521655031, -6.061883242055056]
[-5.88725851348731, -3.219027102225714]
[-4.81158399853671, -1.877166499962073]
[-6.181943419145208, 2.651649750792304]
[-5.892092051632119, 3.820731924115368]
[-5.795899805079156, -4.553543527788632]
[-5.44674247832872, 3.7570534004232647]
[-4.856771633007345, -6.31463741468568]
[-6.201003732484165, 3.568537553635188]
[-5.068467256730768, -2.0683186936039126]
[-6.830329025608829, 4.8134408834309115]
[-5.857234805870152, 4.967952494324167]
[-4.685599140340716, -4.154234154947186]
[-4.60375678619562, -1.9740583606739188]
[-5.522687539946705, -3.7842896133181214]
[-6.398739353939478, 3.508326803343682]
[-5.821782740451563, 4.948483469410532]
[-5.469974093844597, 1.4181325736826111]
[-5.937722476985999, -3.2724878439117235]
[-6.713994152519871, 5.760543743816691]
[-6.406904600073787, 4.492454355720377]
[-4.612830834849728, -0.7153829366330445]
[-6.0558261070825505, 2.305014080057644]
[-5.645583801174776, 1.359947424220755]
[-7.001093455149822, 5.337623173085717]
[-5.352169534151224, 3.7350598024749746]
[-5.975867992949988, 5.400894255973569]
[-8.262654963832126, -4.168584506234864]
[-5.023039942589033, 5.257852834106609]
[-4.695554729407894, -2.9740340069820626]
[-5.383237203270482, 1.362179550770685]
[-6.422039860084422, 1.0858074022118056]
