[-7.0, -6.5]
[-8.486516354980976, -6.633823940717947]
[-8.487068297949024, -6.5969924537548]
[-7.851124356209664, -7.474056614922922]
[-5.901289408431375, -5.739474662152248]
[-5.012301812296683, -6.705228833000742]
[-6.086245760826392, -4.241201598793782]
[-6.149066595139917, -2.872449621578734]
[-5.5149239917684705, -1.356144946767337]
[-6.1632842450582634, -2.7380829636189055]
[-4.631679237965811, -6.520538652668847]
[-5.84265871723747, -6.087824257541379]
[-5.362186058066288, -6.888062487101353]
[-5.481208684082602, -1.3272208420398366]
[-5.387125822587316, -5.430760372739831]
[-7.977337907198787, -7.329189053523917]
[-6.454374712056052, -1.9880911827986325]
[-5.469207269829869, -1.3180896888726505]
[-5.496640369703884, -1.3116598286625634]
[-6.065146217397479, -3.7138961934505934]
[-7.929445503998904, -7.38014462276817]
[-5.867889673084442, -1.9294153014771405]
[-7.276082164463873, -3.006194307864603]
[-6.54870860532131, -1.8525103222991985]
[-6.690898449486104, -1.7335048764728176]
[-5.431602905440508, -1.292076980093909]
[-5.648421210010309, -0.604665538932221]
[-5.591877666122157, -0.5384116793976164]
[-5.374460652504884, 1.2952186056843333]
[-5.648802409121802, -1.3491339911002913]
[-5.454745961894401, 0.9128219126536499]
[-5.393747150715581, -0.18385810837028196]
[-6.257527098144762, -1.2716415179977043]
[-5.901999609054669, -2.720547216576096]
[-5.157725912260856, -1.2406518768293073]
[-5.59007142842057, 2.823367302008788]
[-5.367617870331155, 2.4003404123457615]
[-6.40855368621402, -2.9849373782992723]
[-5.776652142853416, -1.948675787897406]
[-5.716911651003894, 3.1098425498199607]
[-4.655780948833745, -2.513305327711748]
[-5.848109742099534, -5.741050712562144]
[-4.917761007511821, -4.680765710154655]
[-5.946075311970558, -6.94458981989959]
[-4.610357047179421, -4.456397997896986]
[-4.9509365784723505, 0.6899025673411449]
[-6.863987373333383, 4.5581706032521225]
[-4.689649895134945, 0.9747796193634076]
[-8.483357092039014, -3.9280207767071116]
[-7.187980201004841, 4.192531294856005]
[-7.864968663779794, 5.685354637424654]
[-5.828046559328073, -6.866411725318806]
[-4.727937040575631, 0.6774902847280591]
[-5.611276351508285, 3.0302034055708]
[-8.9889227688119, -7.48992461244256]
[-4.651351747616285, -6.175642956168173]
[-5.692461423858601, -3.483695346253325]
[-4.5442848066981645, -6.423430405120395]
[-5.672586774729668, -3.3362519172685405]
[-5.105119082854671, 4.388278146191446]
[-5.092974613134192, -5.962986091692914]
[-5.409580334075052, 0.46849826752806817]
[-6.172321869492335, -2.528877224951449]
[-6.141204988271835, 0.6825257516366626]
[-6.332701110685363, -1.345751955252811]
[-4.552313775380931, -2.732244206040844]
[-5.056340834078738, 4.440594830550705]
[-5.707598657829442, 0.8706509970724727]
[-6.265343203195343, -1.2792251109767492]
[-5.671567592610367, 3.732387751834596]
[-5.352491025211063, 2.2419971368687137]
[-4.600082566355842, -6.540157843502594]
[-7.621860867317005, 0.9616347637246989]
[-5.537769035622664, -3.5833971341799202]
[-5.758517634340664, -1.6865751947557444]
[-8.086076688783118, 3.629105797847752]
[-8.206063407638233, 6.466281595767338]
[-6.489327790115943, 0.9330372934823841]
[-4.981029449936502, 5.859938029705872]
[-4.828676462907748, -2.8239356221507483]
[-5.72675304778167, -5.941284021217275]
[-5.651546552060572, 3.5368268818791133]
[-6.370374168087157, 6.24164089646638]
[-3.527421073331669, 5.886972760417735]
[-5.276711540628808, -5.909488899888006]
[-9.025738681555202, 0.823809179879181]
[-2.4155583018974403, 4.603234804747103]
[-5.885381874626239, -1.9455567623114514]
[-4.977105010141549, -5.983456267386558]
[-8.916058258420616, 5.006973096318704]
[-3.420827758162614, 3.4744822798266384]
[-4.504252593868043, -2.4744549155268643]
[-1.9363118511137885, 4.028637201123652]
[-5.323064029306702, 3.85826617635346]
[-4.72263277352858, -2.084883569787107]
[-1.1005622882980426, 5.135455864738786]
[-6.132713714760608, -6.086792543894024]
[-2.4321328336273242, 5.787560400709025]
[-0.8667233652854596, 5.021421171333091]
[-6.774774041718746, 0.542168065544435]
[-5.61989952548527, -0.13954591530194432]
[-3.173814186600436, 3.867510622391355]
[-0.8509461681859218, 6.54647300759678]
[-4.328945478182412, 1.5881442018613035]
[-4.629867568750295, 1.048711115258477]
[-7.651914419969899, 6.1786660468219905]
[-1.1297370516201364, 3.50187736098707]
[-4.484997198333659, -6.484088917114425]
[-0.6177287573287314, 2.122469099616351]
[-5.665957001147784, 6.530102263146702]
[0.519705130241131, 2.7323560771340176]
[1.001422641493312, 2.781799023502058]
[-6.04545180444933, -3.794936608457617]
[-6.4513036610142525, -1.9872660003090763]
[-8.465819877501739, 0.8331497386582846]
[-6.334475785795502, 1.3513279114105454]
[-3.144982620741704, 3.590207011382676]
[-4.690823385951599, -2.6351702729394018]
[-5.559856321411308, -5.6126452305216255]
[-6.061729554885552, 0.8515666344931148]
[0.8931023684677941, 2.2415532942387695]
[-6.685272323197159, 1.2818960052120978]
[-5.308819533536187, 4.313003132007154]
[-1.608081024082586, 1.353076971473253]
[-4.545960478812327, -6.421188504840349]
[-0.7791184753771004, 6.489499411140947]
[-7.625386039967718, 0.766090455432996]
[-5.23959838561906, -3.6002365172917536]
[0.8925984941635047, 2.2416905678204326]
[-0.09112937530056663, 1.4338198229428454]
[0.08017285417569388, 2.1876893922615843]
[-7.641704105680798, -6.059896695596481]
[0.12410341682983937, 2.441637239299422]
[-0.47142624985725096, 2.8181638217631546]
[-5.378405472533622, -5.904563147201477]
[0.7044075177643503, 2.3030178911115073]
[-0.8662718896298709, 5.021900458672287]
[-6.4999760387583745, -6.465014992742041]
[-0.053215741157854345, 3.7920187045079405]
[-0.3821031750172436, 1.7323559108048527]
[-8.270247187420248, -4.116743682514053]
[-2.050152590322853, 2.7426717979557407]
[-8.395479016804769, 4.769587887926618]
[-5.248493424745632, -5.8422017415515795]
[0.07796648334168456, 1.3720396270420145]
[-0.7595190528004633, 2.720116777362204]
[0.7650542770976042, -0.05759262266320325]
[-0.43408816316240606, 5.115833696159034]
[-8.00098977463232, 3.931406371071716]
[0.7110110323626042, -1.5432851154815852]
[0.8005758184200561, -0.022282832988761634]
[0.8982411050773158, -3.1244483714910656]
[0.7883251909647919, -1.5776704925003568]
[-0.14126788376563607, -2.2731682157429067]
[-6.652970531107327, -1.6239876839285803]
[-8.705124504270126, 4.4070419033649255]
[0.09483613918064965, -3.0257716952218416]
[1.5014793179615917, -2.870993958090768]
[-2.963612798113173, 3.161883285700583]
[-0.9501061943744769, 2.461232825249879]
[-5.459934091114448, -4.064297549472936]
[2.036205086778721, -4.3204920685799655]
[-6.238261265194732, -6.069757748103868]
[1.9199567410853473, -5.855594871921578]
[-0.14289074888263958, -0.9115432438328653]
[1.4837146636610687, -4.7502127614353125]
[-7.941379726472439, 1.1451108058370232]
[0.7911940137911989, -3.493407126519373]
[-7.779737059161436, 5.788713358598191]
[-0.24295023884521844, 3.334610835109895]
[2.2512989335036018, -4.794718350318542]
[-0.5744457589615357, 4.527298449611305]
[-6.680713896944892, -2.375887614554878]
[-3.2755963264280537, 3.5987034997349276]
[-2.868820759579558, 1.5289728991231464]
[-5.566276385162052, 1.5354069150100744]
[0.3497429979447436, 6.424112417898909]
[-7.061722366636565, -1.6328923543042833]
[-4.659785596636876, 1.1170935165251121]
[0.9742827024798324, 2.1678436936510903]
[0.10062564114862989, 3.8390981905571264]
[0.7788179460973804, -5.136127654201762]
[-8.153692948177971, -1.430493766925999]
[-7.8166115159505765, -5.1805915623377015]
[0.13581213499888387, 2.921044107815102]
[2.5899288422155844, -3.8832006159005727]
[0.5366730641181086, 2.4614451061850238]
[1.3416935340435534, -3.1115654238561885]
[-4.674644071916611, -3.088164785752738]
[-3.8294812606585262, 5.5755343051359185]
[1.8002712078213023, -4.032567165319165]
[-4.1978378053440055, 1.570755347516262]
[-2.032985568391307, 5.394489823797909]
[3.241152454478341, -5.2847227414317555]
[0.2027339947850879, 4.917700088201257]
[-7.833623243342736, 5.729655191742257]
[-7.849604423339639, 0.5280952988715677]
[-5.298418307576087, -5.722317356134518]
[-4.754104028066139, 5.768860991304818]
[-0.4249808899450622, 4.200842950963466]
[0.16805948919188923, 0.684773545885203]
[-5.4722645516629225, 5.655528152696927]
[4.009923321161404, -4.495465301811623]
[0.700000491021837, -1.4354321499739962]
[-7.6084929619962685, 4.196010602106521]
[3.458317877925185, -4.866087478056197]
[1.4062919913097363, -5.2644361323455175]
[-4.661234987440817, -4.517917857999485]
[3.4071466065264833, -6.476039559944886]
[-0.5340536438642545, 2.4525902344137767]
[-6.608941943641359, 3.441616756219337]
[-7.77353534200461, 1.060170542512671]
[-6.044400644533845, -1.5498677481342797]
[-7.920727466605529, 3.2401616743334007]
[0.25035956561732076, 2.1648773836361306]
[0.7170123046733136, 0.3330156263445748]
[4.082989186774959, -7.455459161137899]
[-8.476374331749742, 1.0226213986047923]
[0.411749317526563, 6.671296864943562]
[-6.642967341930284, 2.919563040901916]
[4.08199265033282, -4.5576216166629395]
[-5.067586570619255, -7.1424511938382835]
[0.8513687633429559, -4.084838059714442]
[0.6880067405330097, 3.5432210340596737]
[-1.065899426791865, 5.513517875247152]
[0.5507245528484624, -1.245455736649762]
[-6.800647114227469, -5.078649219409474]
[-8.0978482351609, 2.6670361920132146]
[3.466735927824029, -3.625379319571373]
[-1.2677405637765415, 5.291444266373848]
[-8.066911982371698, 0.22233902489176494]
[-5.209745138271611, -4.784248583222961]
[0.12687601119408465, -2.8761118356858506]
[0.8681512457563237, -4.061503369268773]
[0.30826387628449825, 6.338310494753724]
[-7.708663212994254, 1.73849397122324]
[-5.918168002867684, -5.810447984031789]
[3.3385879626620754, -4.123731162375373]
[-9.03861512986944, 1.25998123677727]
[-2.1350088729572634, 5.919927237522805]
[0.3446388020310279, -0.9758621641063235]
[4.510248799426199, -7.081910444653714]
[-1.9560270911887223, 6.5443761661529845]
[0.5831015932392262, 6.538803287362924]
[4.227608081824424, -6.452284439329844]
[3.4445484744501926, -3.6583442379397555]
[-2.185277514622597, 2.621969713915244]
[1.258734751482498, -6.619468821023001]
[-6.776287465645101, -4.75911578061674]
[-6.438601006041603, -5.246567700557749]
